product_category_name,total_orders,total_revenue,avg_order_value
beleza_saude,8836,1384783.71,156.720655
relogios_presentes,5624,1285040.70,228.492300
cama_mesa_banho,9417,1151657.81,122.295615
esporte_lazer,7720,1084444.87,140.472133
informatica_acessorios,6689,936674.78,140.032109
moveis_decoracao,6449,778022.46,120.642341
utilidades_domesticas,5884,702968.38,119.471172
cool_stuff,3632,702769.40,193.493777
automotivo,3897,651009.23,167.053946
brinquedos,3886,549896.32,141.507030
ferramentas_jardim,3518,521845.18,148.335753
bebes,2885,470598.38,163.119022
perfumaria,3162,438379.81,138.640041
telefonia,4199,372235.46,88.648597
moveis_escritorio,1273,272126.74,213.768059
papelaria,2311,269777.43,116.736231
pet_shop,1710,237792.65,139.060029
pcs,181,215516.48,1190.698784
instrumentos_musicais,628,203927.80,324.725796
eletroportateis,630,199677.90,316.949047
outros,1451,195963.49,135.054093
eletronicos,2550,191658.69,75.160270
fashion_bolsas_e_acessorios,1864,180578.60,96.876931
consoles_games,1062,171330.79,161.328427
malas_acessorios,1034,166544.62,161.068297
construcao_ferramentas_construcao,748,149439.42,199.785320
eletrodomesticos_2,234,123616.65,528.276282
eletrodomesticos,764,94725.35,123.986060
casa_construcao,490,87917.13,179.422714
moveis_sala,422,75613.24,179.178293
agro_industria_e_comercio,182,69408.72,381.366593
casa_conforto,397,64330.07,162.040478
audio,350,55339.50,158.112857
livros_interesse_geral,512,53785.74,105.050273
moveis_cozinha_area_de_servico_jantar_e_jardim,248,52306.99,210.915282
climatizacao,253,51836.38,204.886877
portateis_casa_forno_e_cafe,75,50193.57,669.247600
industria_comercio_e_negocios,235,44724.72,190.317957
construcao_ferramentas_iluminacao,244,44112.56,180.789180
construcao_ferramentas_seguranca,167,40241.11,240.964730
telefonia_fixa,217,39552.08,182.267649
alimentos,450,33710.73,74.912733
market_place,280,31955.93,114.128321
fashion_calcados,240,28287.07,117.862791
artes,202,27736.71,137.310445
construcao_ferramentas_jardim,194,27683.89,142.700463
livros_tecnicos,260,23216.60,89.294615
moveis_quarto,95,21796.42,229.436000
bebidas,297,21671.35,72.967508
sinalizacao_e_seguranca,140,19524.10,139.457857
alimentos_bebidas,227,17648.58,77.747048
construcao_ferramentas_ferramentas,97,16366.72,168.729072
fashion_roupa_masculina,112,12224.03,109.143125
fashion_underwear_e_moda_praia,121,11031.80,91.171900
artigos_de_natal,128,10508.10,82.094531
tablets_impressao_imagem,79,8342.10,105.596202
cine_foto,65,7910.54,121.700615
dvds_blu_ray,59,7177.42,121.651186
musica,38,6724.86,176.970000
moveis_colchao_e_estofado,38,5998.54,157.856315
livros_importados,53,5324.40,100.460377
artigos_de_festas,39,5043.21,129.313076
portateis_cozinha_e_preparadores_de_alimentos,14,4249.61,303.543571
fashion_roupa_feminina,39,3058.90,78.433333
fashion_esporte,27,2501.05,92.631481
la_cuisine,13,2221.48,170.883076
artes_e_artesanato,23,2184.14,94.962608
fraldas_higiene,27,1672.75,61.953703
pc_gamer,8,1450.83,181.353750
flores,29,1389.84,47.925517
casa_conforto_2,24,1009.53,42.063750
cds_dvds_musicais,12,832.77,69.397500
fashion_roupa_infanto_juvenil,8,665.36,83.170000
seguros_e_servicos,2,324.51,162.255000
