customer_state,total_orders,total_revenue,average_order_value
SP,41375,5534919.01,133.774477
RJ,12762,1985032.34,155.542418
MG,11544,1740465.48,150.767972
RS,5432,825079.13,151.892328
PR,4998,739428.92,147.944961
SC,3612,565692.13,156.614653
BA,3358,566543.39,168.714529
DF,2125,334941.87,157.619703
ES,2025,304734.98,150.486409
GO,2007,318632.69,158.760682
PE,1648,306566.65,186.023452
CE,1327,259661.52,195.675599
PA,970,206946.70,213.347113
MT,903,169811.31,188.052392
MA,740,143209.56,193.526432
MS,709,128365.68,181.051734
PB,532,132132.78,248.369887
PI,493,100309.32,203.467180
RN,482,98467.47,204.289356
AL,411,92257.08,224.469781
SE,345,68128.82,197.474840
TO,279,58743.56,210.550394
RO,247,55810.19,225.952186
AM,147,26091.38,177.492380
AC,81,18467.42,227.992839
AP,68,14435.46,212.286176
RR,46,8933.94,194.216086
