cohort_month,months_since_first_purchase,active_customers,cohort_size,retention_percent
201609,0,4,4,100.00
201610,0,321,321,100.00
201610,6,1,321,0.31
201610,9,1,321,0.31
201610,11,1,321,0.31
201610,13,1,321,0.31
201610,15,1,321,0.31
201610,17,1,321,0.31
201610,19,2,321,0.62
201610,20,2,321,0.62
201612,0,1,1,100.00
201612,1,1,1,100.00
201701,0,764,764,100.00
201701,1,3,764,0.39
201701,2,2,764,0.26
201701,3,1,764,0.13
201701,4,3,764,0.39
201701,5,1,764,0.13
201701,6,4,764,0.52
201701,7,1,764,0.13
201701,8,1,764,0.13
201701,10,3,764,0.39
201701,11,1,764,0.13
201701,12,6,764,0.79
201701,13,3,764,0.39
201701,14,1,764,0.13
201701,15,1,764,0.13
201701,16,2,764,0.26
201701,17,3,764,0.39
201701,19,1,764,0.13
201702,0,1752,1752,100.00
201702,1,4,1752,0.23
201702,2,5,1752,0.29
201702,3,2,1752,0.11
201702,4,7,1752,0.40
201702,5,2,1752,0.11
201702,6,4,1752,0.23
201702,7,3,1752,0.17
201702,8,3,1752,0.17
201702,9,4,1752,0.23
201702,10,2,1752,0.11
201702,11,5,1752,0.29
201702,12,3,1752,0.17
201702,13,3,1752,0.17
201702,14,2,1752,0.11
201702,15,1,1752,0.06
201702,16,1,1752,0.06
201702,17,4,1752,0.23
201703,0,2636,2636,100.00
201703,1,13,2636,0.49
201703,2,10,2636,0.38
201703,3,10,2636,0.38
201703,4,9,2636,0.34
201703,5,4,2636,0.15
201703,6,4,2636,0.15
201703,7,8,2636,0.30
201703,8,9,2636,0.34
201703,9,2,2636,0.08
201703,10,10,2636,0.38
201703,11,4,2636,0.15
201703,12,6,2636,0.23
201703,13,3,2636,0.11
201703,14,4,2636,0.15
201703,15,6,2636,0.23
201703,16,2,2636,0.08
201703,17,4,2636,0.15
201704,0,2352,2352,100.00
201704,1,14,2352,0.60
201704,2,5,2352,0.21
201704,3,4,2352,0.17
201704,4,8,2352,0.34
201704,5,6,2352,0.26
201704,6,8,2352,0.34
201704,7,7,2352,0.30
201704,8,7,2352,0.30
201704,9,4,2352,0.17
201704,10,6,2352,0.26
201704,11,2,2352,0.09
201704,12,2,2352,0.09
201704,13,1,2352,0.04
201704,14,2,2352,0.09
201704,15,2,2352,0.09
201704,16,5,2352,0.21
201705,0,3596,3596,100.00
201705,1,18,3596,0.50
201705,2,18,3596,0.50
201705,3,14,3596,0.39
201705,4,11,3596,0.31
201705,5,12,3596,0.33
201705,6,15,3596,0.42
201705,7,6,3596,0.17
201705,8,9,3596,0.25
201705,9,11,3596,0.31
201705,10,9,3596,0.25
201705,11,12,3596,0.33
201705,12,9,3596,0.25
201705,13,1,3596,0.03
201705,14,7,3596,0.19
201705,15,9,3596,0.25
201706,0,3139,3139,100.00
201706,1,15,3139,0.48
201706,2,11,3139,0.35
201706,3,13,3139,0.41
201706,4,8,3139,0.25
201706,5,12,3139,0.38
201706,6,12,3139,0.38
201706,7,7,3139,0.22
201706,8,4,3139,0.13
201706,9,7,3139,0.22
201706,10,10,3139,0.32
201706,11,11,3139,0.35
201706,12,5,3139,0.16
201706,13,4,3139,0.13
201706,14,6,3139,0.19
201707,0,3894,3894,100.00
201707,1,20,3894,0.51
201707,2,14,3894,0.36
201707,3,10,3894,0.26
201707,4,11,3894,0.28
201707,5,8,3894,0.21
201707,6,12,3894,0.31
201707,7,4,3894,0.10
201707,8,7,3894,0.18
201707,9,10,3894,0.26
201707,10,9,3894,0.23
201707,11,12,3894,0.31
201707,12,5,3894,0.13
201707,13,10,3894,0.26
201708,0,4184,4184,100.00
201708,1,29,4184,0.69
201708,2,14,4184,0.33
201708,3,11,4184,0.26
201708,4,15,4184,0.36
201708,5,22,4184,0.53
201708,6,12,4184,0.29
201708,7,11,4184,0.26
201708,8,6,4184,0.14
201708,9,6,4184,0.14
201708,10,10,4184,0.24
201708,11,8,4184,0.19
201708,12,4,4184,0.10
201709,0,4130,4130,100.00
201709,1,28,4130,0.68
201709,2,22,4130,0.53
201709,3,12,4130,0.29
201709,4,19,4130,0.46
201709,5,9,4130,0.22
201709,6,9,4130,0.22
201709,7,10,4130,0.24
201709,8,12,4130,0.29
201709,9,7,4130,0.17
201709,10,11,4130,0.27
201709,11,3,4130,0.07
201710,0,4470,4470,100.00
201710,1,31,4470,0.69
201710,2,11,4470,0.25
201710,3,4,4470,0.09
