seller_key,total_orders_shipped,avg_shipping_delay_days,late_dispatched_orders
2700,1,167,1
959,3,44.6666666666667,1
1746,1,35,1
1646,1,33,1
2293,2,23.5,2
794,5,23,3
2712,4,22.75,1
1080,1,22,1
2854,3,21.6666666666667,1
1962,2,21,1
1891,4,20,1
2799,8,19.875,1
2341,2,19.5,1
1508,5,19.4,1
1405,4,19,1
1358,4,18,1
2885,7,17.7142857142857,2
496,1,17,1
2469,12,16.5833333333333,4
1330,1,16,1
1233,1,16,1
1273,2,16,2
2417,1,16,1
1145,7,14.2857142857143,1
1906,1,14,1
2454,1,14,1
2372,11,13.5454545454545,5
1742,2,13.5,1
1658,3,13.3333333333333,1
274,10,13.2,1
395,1,13,1
2639,1,13,1
592,3,12.6666666666667,1
1735,3,12.3333333333333,2
1897,1,12,1
668,2,12,1
1524,5,11.6,1
493,52,11.2115384615385,13
1393,6,10.6666666666667,2
1478,1,10,1
60,21,10,6
2616,2,10,2
1214,6,9.83333333333333,4
1111,7,9.42857142857143,3
460,12,9.41666666666667,5
1937,1,9,1
47,3,8.66666666666667,1
393,2,8.5,1
1033,81,8.11111111111111,24
1829,9,8,4
2166,4,8,1
1532,1,8,1
2539,1,8,1
2929,8,7.625,2
2315,2,7.5,1
1721,5,7.4,2
1768,3,7.33333333333333,1
780,4,7.25,1
1789,11,7.09090909090909,3
2122,11,7.09090909090909,3
2000,3,7,1
1216,1,7,1
982,1,7,1
315,1,7,1
2798,3,7,1
1605,18,6.72222222222222,5
580,9,6.66666666666667,4
513,4,6.5,1
2751,2,6.5,1
2993,5,6.4,1
426,3,6.33333333333333,1
170,3,6.33333333333333,1
2459,76,6.13157894736842,14
734,1,6,1
1921,1,6,1
2331,1,6,1
1399,5,5.8,1
1652,16,5.6875,3
1460,6,5.66666666666667,2
1447,11,5.54545454545455,2
1200,6,5.5,3
895,2,5.5,1
590,2,5.5,1
418,9,5.44444444444444,2
2905,22,5.40909090909091,3
1814,7,5.28571428571429,1
1367,4,5.25,2
1567,20,5.15,6
2137,18,5.05555555555556,9
2273,3,5,2
2358,9,5,1
1584,1,5,1
368,1,5,1
163,4,5,1
1069,3,5,1
731,3,4.66666666666667,1
2082,12,4.66666666666667,1
1316,5,4.6,1
112,4,4.5,2
347,12,4.5,1
1729,24,4.41666666666667,2
2429,42,4.38095238095238,3
1935,3,4.33333333333333,1
723,3,4.33333333333333,1
1000,3,4.33333333333333,1
1715,7,4.28571428571429,2
2607,4,4.25,1
2090,46,4.21739130434783,3
2446,10,4.2,3
1388,79,4.18987341772152,16
603,32,4.125,1
1733,27,4.07407407407407,2
1807,35,4.05714285714286,3
1696,6,4,2
2271,1,4,1
2275,1,4,1
941,3,4,1
1176,13,4,3
467,1,4,1
294,3,4,1
2880,1,4,1
2802,2,4,1
2853,1,4,1
2565,9,3.88888888888889,3
1356,9,3.88888888888889,2
3053,4,3.75,1
2797,17,3.70588235294118,1
1848,13,3.69230769230769,5
2055,3,3.66666666666667,1
2769,3,3.66666666666667,2
2621,33,3.54545454545455,5
1890,2,3.5,1
2093,44,3.43181818181818,12
3054,3,3.33333333333333,2
2878,47,3.29787234042553,15
943,23,3.26086956521739,5
135,8,3.25,2
2216,9,3.22222222222222,2
1425,12,3.16666666666667,1
2857,20,3.05,4
2856,4,3,1
2966,1,3,1
1693,2,3,1
2178,5,3,1
2179,3,3,1
1909,5,3,1
1859,1,3,1
296,1,3,1
551,18,3,1
1044,2,3,1
1117,7,3,2
2154,16,2.9375,2
143,72,2.93055555555556,9
773,8,2.875,2
1610,44,2.81818181818182,4
1612,5,2.8,1
33,14,2.78571428571429,4
946,4,2.75,2
2674,4,2.75,2
1036,18,2.72222222222222,2
1899,175,2.69714285714286,15
1119,13,2.69230769230769,3
779,21,2.66666666666667,1
2016,21,2.66666666666667,1
2378,17,2.64705882352941,5
123,17,2.64705882352941,3
403,14,2.64285714285714,2
1869,49,2.63265306122449,3
2991,24,2.625,7
1706,29,2.62068965517241,2
46,13,2.61538461538462,3
2057,98,2.60204081632653,9
1130,17,2.58823529411765,4
236,9,2.55555555555556,3
1640,9,2.55555555555556,2
2133,24,2.54166666666667,6
2112,6,2.5,1
