seller_id,total_orders,late_orders,late_delivery_rate_percent
04843805947f0fc584fc1969b6e50fe7,1,1,100.00
05ca864204d09595ae591b93ea9cf93d,1,1,100.00
1352e06ae67b410cdae0b2a22361167b,2,2,100.00
13d95f0f6f73943d4ceffad0fc2cd32c,1,1,100.00
154bdf805377afea75a3bd158e9eab10,1,1,100.00
19484c79cef6c062cb177aa4ef2fcc3c,1,1,100.00
1b4b28463457a256e9a784ebe2a8f630,1,1,100.00
1f2eebc0e970fd3c463e4f5d9652687a,1,1,100.00
20d53aad4fe5ee93a64f8839609d3586,1,1,100.00
20f0aeea30bc3b8c4420be8ced4226c0,1,1,100.00
271b8923c6a549e02d3c9fd1f8c0422b,1,1,100.00
2a50b7ee5aebecc6fd0ff9784a4747d6,1,1,100.00
2a73cba571d90c694b7caca072ccf6ce,1,1,100.00
344223b2a90784f64136a8a5da012e7f,1,1,100.00
391bbd13b6452244774beff1824006ed,1,1,100.00
3da38366e7bd9baf6369071f782ecdf0,1,1,100.00
4e42581f08e8cfc7c090f930bac4552a,1,1,100.00
51a04a8a6bdcb23deccc82b0b80742cf,1,1,100.00
535bf14f36346c7f59d87cece104d70c,1,1,100.00
586a871d4f1221763fddb6ceefdeb95e,1,1,100.00
5ca5d579b5857ee8709479b1047cecc3,1,1,100.00
63704069d9bd3a75c1cf59babe56004a,1,1,100.00
6524b847b982cd56bb5d4b02b776ee42,1,1,100.00
685b870da5b52a710782c9c0fefbeb5b,2,2,100.00
6d04126aba80df143fd038e711b8fd96,1,1,100.00
781a66c0d89e30814d49fe8b5e14cd07,1,1,100.00
791cfcfe22fe4a771ece27f90017da92,1,1,100.00
7c462184585ae80bd6e5774c62ce50f2,1,1,100.00
80ceebb4ee9b31afb6c6a916a574a1e2,1,1,100.00
8629a7efec1aab257e58cda559f03ba7,1,1,100.00
8e670472e453ba34a379331513d6aab1,1,1,100.00
984c273121e743dd14767befe6cb17f5,1,1,100.00
9ac75591b69c3402684b6ce0310f22ee,1,1,100.00
