product_category_name,purchase_month,total_orders,monthly_revenue
beleza_saude,2016-09,1,47.82
moveis_decoracao,2016-10,49,6405.60
beleza_saude,2016-10,36,3955.24
perfumaria,2016-10,26,4926.65
brinquedos,2016-10,22,4249.20
esporte_lazer,2016-10,17,2490.76
informatica_acessorios,2016-10,12,861.84
bebes,2016-10,9,1405.39
utilidades_domesticas,2016-10,9,1066.68
automotivo,2016-10,8,1351.27
fashion_bolsas_e_acessorios,2016-10,7,455.15
consoles_games,2016-10,7,3785.36
cool_stuff,2016-10,7,1236.88
telefonia,2016-10,7,279.83
moveis_escritorio,2016-10,6,1587.55
market_place,2016-10,5,620.95
telefonia_fixa,2016-10,5,774.45
ferramentas_jardim,2016-10,5,1465.19
cama_mesa_banho,2016-10,5,532.92
climatizacao,2016-10,4,826.69
pet_shop,2016-10,4,775.86
relogios_presentes,2016-10,4,2793.71
industria_comercio_e_negocios,2016-10,3,329.95
outros,2016-10,2,95.92
audio,2016-10,2,183.03
alimentos,2016-10,1,96.23
fraldas_higiene,2016-10,1,150.99
eletronicos,2016-10,1,119.79
fashion_calcados,2016-10,1,40.95
fashion_roupa_feminina,2016-10,1,69.63
fashion_roupa_masculina,2016-10,1,35.86
fashion_bolsas_e_acessorios,2016-12,1,19.62
moveis_decoracao,2017-01,132,13477.14
beleza_saude,2017-01,79,13579.77
esporte_lazer,2017-01,57,9156.30
cama_mesa_banho,2017-01,43,4334.18
brinquedos,2017-01,41,5291.26
ferramentas_jardim,2017-01,36,7238.88
bebes,2017-01,31,6622.70
cool_stuff,2017-01,30,6918.11
fashion_bolsas_e_acessorios,2017-01,30,2136.61
perfumaria,2017-01,29,5544.01
automotivo,2017-01,27,4682.21
informatica_acessorios,2017-01,24,3651.11
utilidades_domesticas,2017-01,21,2950.38
telefonia_fixa,2017-01,19,858.06
consoles_games,2017-01,19,4722.34
telefonia,2017-01,17,928.53
pet_shop,2017-01,12,996.39
relogios_presentes,2017-01,11,8310.83
eletronicos,2017-01,11,772.43
outros,2017-01,10,1733.85
moveis_quarto,2017-01,8,148.76
moveis_sala,2017-01,8,1264.50
papelaria,2017-01,7,1105.44
moveis_escritorio,2017-01,6,1079.68
eletroportateis,2017-01,6,1788.25
eletrodomesticos_2,2017-01,6,2006.71
market_place,2017-01,5,504.36
malas_acessorios,2017-01,4,565.38
climatizacao,2017-01,3,569.13
casa_conforto_2,2017-01,2,95.57
fashion_underwear_e_moda_praia,2017-01,2,171.15
fashion_roupa_feminina,2017-01,2,102.81
livros_interesse_geral,2017-01,2,271.55
musica,2017-01,2,37.24
agro_industria_e_comercio,2017-01,2,77.05
alimentos,2017-01,2,78.82
pcs,2017-01,1,2217.99
seguros_e_servicos,2017-01,1,209.06
instrumentos_musicais,2017-01,1,357.74
moveis_cozinha_area_de_servico_jantar_e_jardim,2017-01,1,128.20
fashion_roupa_masculina,2017-01,1,159.11
fashion_calcados,2017-01,1,49.01
dvds_blu_ray,2017-01,1,47.80
moveis_decoracao,2017-02,213,22860.24
beleza_saude,2017-02,143,24572.87
cama_mesa_banho,2017-02,140,16639.92
esporte_lazer,2017-02,134,17517.16
telefonia,2017-02,95,7417.94
informatica_acessorios,2017-02,92,12466.15
automotivo,2017-02,75,13577.95
cool_stuff,2017-02,68,13866.42
brinquedos,2017-02,61,10354.60
utilidades_domesticas,2017-02,61,12342.24
ferramentas_jardim,2017-02,60,12312.50
moveis_escritorio,2017-02,52,11381.36
outros,2017-02,50,9357.27
perfumaria,2017-02,47,8672.80
