product_1,product_2,orders_together
cama_mesa_banho,moveis_decoracao,70
cama_mesa_banho,casa_conforto,43
moveis_decoracao,utilidades_domesticas,24
cama_mesa_banho,utilidades_domesticas,20
bebes,cool_stuff,20
bebes,brinquedos,19
bebes,cama_mesa_banho,17
ferramentas_jardim,moveis_decoracao,17
beleza_saude,esporte_lazer,14
outros,utilidades_domesticas,14
casa_construcao,moveis_decoracao,13
beleza_saude,perfumaria,12
bebes,moveis_decoracao,12
beleza_saude,cama_mesa_banho,11
construcao_ferramentas_iluminacao,moveis_decoracao,11
esporte_lazer,utilidades_domesticas,11
ferramentas_jardim,utilidades_domesticas,11
cama_mesa_banho,cool_stuff,10
ferramentas_jardim,informatica_acessorios,9
fashion_bolsas_e_acessorios,outros,9
cama_mesa_banho,outros,8
moveis_decoracao,moveis_sala,7
brinquedos,cool_stuff,7
casa_construcao,ferramentas_jardim,7
moveis_decoracao,relogios_presentes,7
cool_stuff,telefonia,6
informatica_acessorios,telefonia,6
casa_conforto,moveis_decoracao,6
esporte_lazer,outros,6
brinquedos,papelaria,6
outros,pet_shop,6
audio,relogios_presentes,6
esporte_lazer,relogios_presentes,5
malas_acessorios,papelaria,5
cama_mesa_banho,moveis_escritorio,5
artes,moveis_decoracao,5
construcao_ferramentas_construcao,ferramentas_jardim,5
automotivo,informatica_acessorios,5
cool_stuff,informatica_acessorios,5
eletronicos,informatica_acessorios,5
bebes,utilidades_domesticas,5
cama_mesa_banho,ferramentas_jardim,4
construcao_ferramentas_jardim,outros,4
beleza_saude,papelaria,4
eletronicos,utilidades_domesticas,1
